Disease,Cluster
AIDS,1
Acne,4
Alcoholic Hepatitis,4
Allergy,0
Arthritis,0
Bronchial Asthma,3
Cervical Spondylosis,2
Chickenpox,2
Chronic Cholestasis,3
Common Cold,2
Dengue,0
Diabetes ,0
Dimorphic Hemmorhoids (piles),3
Drug Reaction,3
Fungal Infection,1
GERD,3
Gastroenteritis,1
Heart Attack,4
Hepatitis A,0
Hepatitis B,3
Hepatitis C,4
Hepatitis D,4
Hepatitis E,4
Hypertension ,2
Hyperthyroidism,0
Hypoglycemia,0
Hypothyroidism,0
Impetigo,3
Jaundice,3
Malaria,2
Migraine,4
Osteoarthritis,4
Paralysis (brain hemorrhage),0
Peptic Ulcer Disease,3
Pneumonia,2
Psoriasis,0
Tuberculosis,0
Typhoid,0
Urinary Tract Infection,2
Varicose Veins,3
Vertigo,3
